date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:00	36302/36302	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202024%2013:44:59%20GMT	https://www.shipito.com/fr/imgs/prohibited/AlcJP.svg	D:/shipito/shipito/www.shipito.com/fr/imgs/prohibited/AlcoholProhibitionJapan.svg	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:45:01	1279/1279	---MCZ	200	added ('OK')	text/javascript	etag:W/%222966-1647543179000%22	https://www.shipito.com/scripts/main.js	D:/shipito/shipito/www.shipito.com/scripts/main.js	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:45:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:00%20GMT	https://www.shipito.com/fr/shipito-forwarding-service	D:/shipito/shipito/www.shipito.com/fr/shipito-forwarding-service	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:45:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:00%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:45:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:01%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:01%20GMT	https://www.shipito.com/fr/shipito-forwarding-service	D:/shipito/shipito/www.shipito.com/fr/shipito-forwarding-service	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:02%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:02%20GMT	https://www.shipito.com/fr/newsroom	D:/shipito/shipito/www.shipito.com/fr/newsroom	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:09	367001/367001	---M--	200	added ('OK')	image/png	etag:5b48a9d5a0e1040cc0b5f8c7cfac7b44	https://www.shipito.com/fr/imgs/whatisshipito/logos.png	D:/shipito/shipito/www.shipito.com/fr/imgs/whatisshipito/Logos.png	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:08%20GMT	https://www.shipito.com/fr/shipito-forwarding-service	D:/shipito/shipito/www.shipito.com/fr/shipito-forwarding-service.10b.delayed	(from https://www.shipito.com/fr/services/what-is-shipito)
